00001,Rural
00002,Rural
00003,Rural
00004,Rural
00005,Rural
00006,Rural
00007,Rural
00008,Rural
00009,Rural
00010,Rural
00011,Rural
00012,Rural
00013,Rural
00014,Rural
00015,Urban
00016,Rural
00017,Suburban
00018,Rural
00019,Rural
00020,Rural
00022,Rural
00026,Rural
00027,Rural
00028,Rural
00029,Rural
00031,Rural
00032,Rural
00033,Rural
00034,Rural
00035,Rural
00037,Rural
00038,Rural
00039,Rural
00040,Rural
00041,Rural
00042,Urban
00043,Suburban
00044,Rural
00045,Suburban
00047,Rural
00048,Rural
00049,Rural
00050,Rural
00051,Rural
00052,Rural
00053,Urban
00054,Rural
00055,Rural
00056,Suburban
00057,Rural
00058,Rural
00059,Rural
00060,Rural
00061,Rural
00063,Suburban
00064,Rural
00065,Rural
00066,Rural
00067,Suburban
00068,Rural
00069,Suburban
00070,Rural
00071,Suburban
00072,Suburban
00073,Rural
00074,Suburban
00076,Rural
00077,Rural
00084,Urban
00087,Rural
00097,Rural
00098,Rural
00100,Urban
00116,Rural
00119,Suburban
00121,Suburban
00125,Rural
00126,Rural
00127,Rural
00128,Rural
00130,Rural
00132,Rural
00133,Rural
00134,Rural
00135,Rural
00137,Rural
00138,Rural
00139,Rural
00141,Rural
00148,Rural
00151,Rural
00152,Rural
00158,Urban
00160,Rural
00161,Rural
00164,Rural
00165,Rural
00166,Rural
00168,Rural
00172,Rural
00173,Rural
00174,Rural
00176,Rural
00177,Rural
00179,Rural
00180,Rural
00181,Rural
00182,Rural
00183,Rural
00184,Rural
00185,Rural
00188,Rural
00195,Rural
00197,Suburban
00198,Suburban
00199,Urban
00501,Urban
00544,Urban
00601,Rural
00602,Urban
00603,Urban
00604,Urban
00605,Urban
00606,Rural
00610,Urban
00611,Rural
00612,Urban
00613,Urban
00614,Urban
00616,Urban
00617,Urban
00622,Urban
00623,Urban
00624,Urban
00627,Urban
00631,Rural
00637,Urban
00638,Suburban
00641,Rural
00646,Urban
00647,Rural
00650,Urban
00652,Urban
00653,Rural
00656,Urban
00659,Urban
00660,Urban
00662,Urban
00664,Rural
00667,Urban
00669,Suburban
00670,Rural
00674,Urban
00676,Urban
00677,Urban
00678,Urban
00680,Urban
00681,Urban
00682,Urban
00683,Urban
00685,Urban
00687,Urban
00688,Rural
00690,Urban
00692,Urban
00693,Urban
00694,Urban
00698,Urban
00703,Urban
00704,Suburban
00705,Suburban
00707,Urban
00714,Urban
00715,Rural
00716,Urban
00717,Urban
00718,Urban
00719,Urban
00720,Urban
00721,Urban
00723,Urban
00725,Urban
00726,Urban
00727,Urban
00728,Urban
00729,Urban
00730,Urban
00731,Urban
00732,Urban
00733,Urban
00734,Urban
00735,Urban
00736,Urban
00737,Urban
00738,Urban
00739,Urban
00740,Urban
00741,Urban
00742,Urban
00744,Urban
00745,Urban
00751,Suburban
00754,Urban
00757,Suburban
00765,Rural
00766,Urban
00767,Urban
00769,Suburban
00771,Urban
00772,Suburban
00773,Urban
00775,Rural
00777,Urban
00778,Urban
00780,Urban
00782,Urban
00783,Urban
00784,Urban
00785,Urban
00786,Suburban
00791,Urban
00792,Urban
00794,Urban
00795,Urban
00801,Suburban
00802,Suburban
00803,Suburban
00804,Suburban
00805,Suburban
00820,Suburban
00821,Suburban
00822,Suburban
00823,Suburban
00824,Suburban
00830,Rural
00831,Rural
00840,Suburban
00841,Suburban
00850,Suburban
00851,Suburban
00901,Urban
00902,Urban
00906,Urban
00907,Urban
00908,Urban
00909,Urban
00910,Urban
00911,Urban
00912,Urban
00913,Urban
00914,Urban
00915,Urban
00916,Urban
00917,Urban
00918,Urban
00919,Urban
00920,Urban
00921,Urban
00922,Urban
00923,Urban
00924,Urban
00925,Urban
00926,Urban
00927,Urban
00928,Urban
00929,Urban
00931,Urban
00933,Urban
00934,Urban
00935,Urban
00936,Urban
00937,Urban
00939,Urban
00940,Urban
00949,Urban
00950,Urban
00951,Urban
00952,Urban
00953,Urban
00954,Urban
00955,Urban
00956,Urban
00957,Urban
00958,Urban
00959,Urban
00960,Urban
00961,Urban
00962,Urban
00963,Urban
00965,Urban
00966,Urban
00968,Urban
00969,Urban
00970,Urban
00971,Urban
00975,Urban
00976,Urban
00977,Urban
00978,Urban
00979,Urban
00981,Urban
00982,Urban
00983,Urban
00984,Urban
00985,Urban
00986,Urban
00987,Urban
00988,Urban
01001,Urban
01002,Urban
01003,Urban
01004,Urban
01005,Suburban
01007,Suburban
01008,Suburban
01009,Suburban
01010,Rural
01011,Suburban
01012,Suburban
01013,Urban
01014,Urban
01020,Urban
01021,Urban
01022,Urban
01026,Rural
01027,Urban
01028,Urban
01029,Rural
01030,Urban
